,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,Bankrupt?
23,129,122,2591,461,0.438453663530444,0.47868512865242,0.488944804325713,0.592419896510472,0.592419896510472,0.998874223378208,0.797176692453791,0.809117668196746,0.303350986216153,0.781403096877999,7570000000.0,0.0,0.467928168222575,0.0001020102010201,0.0,0.186380683494164,0.186380683494164,0.186380683494164,0.201758532665217,0.319728372356228,0.0175900297956653,0.0881035746274733,0.157038487610153,0.0218999517074114,0.848002595220187,0.68892386158591,0.68892386158591,0.217570952478862,5270000000.0,0.0004170875431168,0.263561554421055,0.379335717745241,0.0161490915784974,0.0053070105940582,0.630601635594033,0.0010167884077002,0.0295069081234695,0.970493091876531,0.005229682069201,0.369839604726639,0.0053658477137564,0.0886218183594704,0.15700173440917,0.397052341634703,0.0989505247376312,0.0019011291124344,0.0033242676663094,7410000000.0,0.0001059096847598,0.0209677419354839,0.0202106252662192,0.386117455507564,0.0233292989654583,0.794125038204117,0.0920318485375678,0.249818721337916,0.0198163306996021,0.0059334105796946,0.0035229250577262,0.0294359872265314,0.357591750532349,0.277482814058568,0.0267182980545844,0.860217408559965,0.733923656866156,0.327041576002827,0.0,0.916793647800353,0.0019451039122875,0.0198633474752598,8530000000.0,2930000000.0,0.593957346127266,2010000000.0,0.671574187362649,0.49630576467995,0.860217408559965,0.327041576002827,0.110933233663468,0.645338932950338,0.461139932136217,0.582590616623056,0.314816920193864,0.0181647569049263,0,0.762812553685036,0.0012952246672282,0.623634780508589,0.592414733234291,0.838327320386489,0.275516679416637,0.0267878832484093,0.565142738781223,1,0.126108656309739,0
251,232,667,305,3346,0.54945644225613,0.573048408198866,0.607687777718293,0.616930195015783,0.616930195015783,0.999115601533081,0.797495152204255,0.809408659269374,0.303402468084263,0.781747518800749,0.0002275726200072,0.0001774257108361,0.482366657440259,0.0002590259025902,0.0598238688126329,0.187518435801273,0.187518435801273,0.187518435801273,0.237496454571239,0.336174577350216,0.0282378208327662,0.115544336780392,0.18159222715975,0.0220680647206972,0.848020488179212,0.689285457074934,0.689285457074934,0.217592641338819,642000000.0,0.0004522981763187,0.263110862453474,0.400869937781752,0.0195993148227307,0.0124387544651379,0.630656429363981,0.0024950072497469,0.0632463645433383,0.936753635456662,0.0075627943521102,0.369841841447785,0.0053658477137564,0.115296301724559,0.180506749113943,0.402475540008815,0.146926536731634,0.0007892627798687,0.0080164975215291,4280000000.0,0.0008503034690717,0.0295161290322581,0.0175197920185656,0.400974650053142,0.0023160713021032,0.884270030459299,0.468965230347383,0.704668520430812,0.209013325021406,0.0125947579901045,0.016222642102276,0.0680401439807139,0.40300651440044,0.277236754597209,0.0184289621596644,0.989713475142253,0.738964851745436,0.32846684179317,0.0,0.939998657732762,0.0023152917816486,0.0492772897020421,0.0001868963115942,0.0001259009668309,0.594009793386201,0.0001539229517103,0.671598963220864,0.0783210704771889,0.989713475142253,0.32846684179317,0.110933233663468,0.689775617413903,0.477443903107809,0.697187528883908,0.320141417946839,0.0149635201252872,0,0.82057090711678,0.0006768130465568,0.623994482632785,0.616931559981893,0.841496202301223,0.276588368290248,0.026804143529147,0.565219567971036,1,0.0609915686064632,0
177,726,690,2427,3339,0.545263978940184,0.558166157871784,0.60410086193051,0.609615301460096,0.609615301460096,0.999081746195896,0.797530014001439,0.809440297224922,0.30353419399093,0.781706676592306,0.0001438517984192,4840000000.0,0.494983350528002,0.0006390639063906,0.0551675270776394,0.170620707091989,0.170620707091989,0.170620707091989,0.220100217452964,0.328358208955224,0.0089689489843761,0.100236137122384,0.174738269187316,0.0220638769082775,0.847993489927429,0.689388349631099,0.689388349631099,0.217592339367238,6600000000.0,0.0004598843084898,0.264021571050035,0.388696397302634,0.0266470307424938,0.0259879449074034,0.630647525376365,0.0011982600607337,0.0341627112495087,0.965837288750491,0.0052715617948004,0.36963718146295,0.0053658477137564,0.100249157262201,0.17379533971797,0.396344967933732,0.0734632683658171,0.0005315857283434,0.0118898286631628,0.0008785537911659,7640000000.0,0.0180645161290323,0.0248373309049249,0.401958345582416,0.0385401844503141,0.863798757077462,0.547742520202379,0.531468324591159,0.220433217381529,0.0264465181906486,0.0306189168229148,0.0378081051550226,0.438536872082065,0.276982992372632,0.0008674093826297,0.969954353018602,0.737226638467606,0.327307700243299,0.0,0.937857565577346,0.0024548515425323,0.0120088565318743,0.0002965150284895,0.000312483723135,0.594079059878967,0.0003309473288653,0.671652048115574,0.450945369076189,0.969954353018602,0.327307700243299,0.110933233663468,0.711651929111771,0.506039053601607,0.683213525046612,0.321842590473053,0.010970945860124,0,0.811762690602085,0.0034843412168059,0.623150926134831,0.609611186169869,0.840872161036946,0.275648331836072,0.0268014873690873,0.565207177718192,1,0.110333420364447,0
244,852,290,975,3814,0.491493199434505,0.451101177496729,0.517640130627978,0.564760230040791,0.564760230040791,0.99837806359026,0.796577678240276,0.808551439930589,0.303342526754257,0.780770393525205,0.0001284721447297,2210000000.0,0.468540466185216,0.0003070307030703,0.0,0.188614049134044,0.188614049134044,0.188614049134044,0.154297059657748,0.331399872674542,0.0170152910749127,0.0490188095431968,0.120810424041576,0.0213567687319783,0.847216257902547,0.682345230090377,0.682345230090377,0.215995948351059,574000000.0,0.0003693747644618,0.263074340862997,0.383303528184494,0.0029042031070105,0.0023649790951069,0.630227325653073,0.014813193627518,0.183360038697584,0.816639961302416,0.0049632758465968,0.386731322819253,0.0053658477137564,0.0490090706271272,0.119757182716236,0.39518074871755,0.04047976011994,0.0016211335761314,0.0038998023200707,0.0002604325396605,2420000000.0,0.0188709677419355,0.0308270787127477,0.332104656158839,0.16042073502567,0.71942567210853,0.0944176351226692,0.112824841353247,0.0462161674975854,0.0024445473760553,0.0034330093429373,0.0711152548208239,0.348651058634357,0.27687593096857,0.0015449202484624,0.362417079378939,0.728560746422426,0.331095569630759,0.104634506066913,0.918945316242887,0.0013964293908117,0.0108015867456644,0.0001025278552115,905000000.0,0.593838072818086,0.0001176929300385,0.671567526015213,0.891646878198774,0.362417079378939,0.331095569630759,0.141462075082147,0.640504950471342,0.4589355987599,0.611816906496942,0.313975257425163,0.094412573604688,0,0.743207398384543,0.12052983121961,0.623847529205976,0.564755688272736,0.833652222329997,0.28552207569741,0.0266872656535246,0.564609010701787,1,0.0191612111650696,0
270,737,1138,526,1015,0.516452981036416,0.576210204971653,0.56416296375609,0.608354112916012,0.608354112916012,0.99903252307767,0.797576496397683,0.809467768865335,0.303718126862441,0.781734746838659,0.0001729921948835,2730000000.0,0.466542529545474,0.0004790479047904,0.131086142322097,0.185411487084404,0.185411487084404,0.185411487084404,0.234281932495036,0.328287472589658,0.0261354870910658,0.103981760442961,0.188370866912706,0.0220902048157915,0.848019500007905,0.689449923583666,0.689449923583666,0.217598524807103,7150000000.0,0.0005017328073415,0.264061977916094,0.386665921537946,0.0052043519364994,0.0018671544267093,0.631055396501418,0.0096809199427315,0.152311273694712,0.847688726305288,0.0053571844210424,0.373945106389641,0.0053658477137564,0.103913234647516,0.187376517608024,0.400617344320848,0.0914542728635682,0.0012194008501313,0.0051892048826515,5450000000.0,0.000199715405547,0.0304838709677419,0.014943524815299,0.3955134438389,0.0107570298051807,0.739644187279037,0.126549809203883,0.290045847248882,0.0156689627173944,0.0022136439423227,0.0008063264976977,0.10286526472425,0.350627007316615,0.274832193385162,0.0080763795451738,0.638768618279965,0.730992852265639,0.331764928059397,0.0091674793246636,0.940150975077761,0.0024280396367866,0.0199215223742504,0.0001267115865945,5440000000.0,0.593901541030084,1940000000.0,0.671567257467711,0.25356664851016,0.638768618279965,0.331764928059397,0.11614886533418,0.637665129028655,0.458392941171187,0.613731688933528,0.313556570091101,0.0548601544322302,0,0.819053652363821,0.0014751578901277,0.623318931925162,0.608351480996198,0.842242391839405,0.281800112669925,0.0269229310805214,0.56571706016901,1,0.0238298913963168,0
186,748,833,928,2293,0.240579144932482,0.204481029219363,0.263450934204186,0.59600887876735,0.59600887876735,0.99881968508759,0.796448883267347,0.808409655018691,0.302193490129862,0.780801972552352,0.0001879093025974,4310000000.0,0.465628276423173,0.0006150615061506,0.0,0.132779908137036,0.132779908137036,0.132779908137036,0.177744161860641,0.319975949635708,0.0108141627720556,0.0881035746274733,0.133689839572193,0.0219596398866914,0.847172754837146,0.688602430549544,0.688602430549544,0.217529210714877,175000000.0,0.0002615967879917,0.261483709039482,0.398802205581014,0.0091519215228657,0.0049857327692152,0.630512938178929,0.0154232666721382,0.186201892553738,0.813798107446262,0.0071224176359139,0.380569156062745,0.0089317051769523,0.0880844203429576,0.132667219666692,0.417803309919442,0.133433283358321,0.0009292605480202,0.0068022389493503,3860000000.0,0.0025622578734394,0.0361290322580645,0.0252897199007094,0.380056986499627,0.0012382572274689,0.830974402483463,0.529496120571727,0.857445927403925,0.0857438133579781,0.0054602773870782,0.0026030129860352,0.174699799223466,0.352094466526818,0.27757164248656,0.0098835264079266,0.896805894438366,0.74082585583016,0.338539714443179,0.0,0.745877426445751,0.001962144659795,0.210102470752057,0.0001462428438504,9080000000.0,0.593952202710926,4150000000.0,0.67157568213496,0.0441126955517532,0.896805894438366,0.338539714443179,0.110933233663468,0.651971978711052,0.460519560370417,0.633161484167629,0.316826659263103,0.0318314138102483,0,0.466577448527113,0.0004506739916599,0.623705669622838,0.596006150140859,0.79913412383168,0.285964113163331,0.0267604598891771,0.565007647981142,1,0.0188113692826602,1
21,731,28,892,3374,0.695363915565739,0.786796772786742,0.7692060602816,0.611611582755589,0.611611582755589,0.999185160963063,0.7976365361595,0.809547059050226,0.303503981627016,0.781823448817134,7240000000.0,428000000.0,0.48034523539921,0.0,0.0050612410162972,0.197589650667903,0.197589650667903,0.197589650667903,0.291292426964168,0.341409068402065,0.0666091927945914,0.164888852699292,0.23220607064849,0.063993155629018,0.848840176278468,0.692099017378974,0.692099017378974,0.217903881124925,0.0001443334081126,0.0008896985864989,0.27020226744683,0.412195894340747,0.0232510975004758,0.0142011036985004,0.63061225188696,0.0030120646732142,0.0731626205520452,0.926837379447955,0.0321167439898214,0.36963718146295,0.0053658477137564,0.164907909521716,0.230555765025262,0.400317246387102,0.380809595202399,0.056733588305114,0.0001118620766212,8810000000.0,0.0181952838417376,0.0698387096774194,0.0905571141107178,0.459702403835282,0.0006124686144391,0.946091840254265,0.623730544912727,0.964669912856882,0.6523456519643,0.0144890349178831,0.0438886958615812,0.0785676850447772,0.397359323915707,0.27723236670666,0.0229633978150216,0.996185390917623,0.742677695693624,0.328938106023939,0.0,0.964239570581282,0.0028817882347325,0.029575023166846,0.0001266789033162,827000000.0,0.593986125612595,0.0002469900730831,0.671633234621347,0.0077945735849655,0.996185390917623,0.328938106023939,0.110933233663468,0.85115336463609,0.529728624803123,0.70282352880283,0.340438316946922,0.0125965638165823,0,0.908824743298428,0.0002948513397398,0.6241833797236,0.611606360466537,0.847008632328459,0.276963593012571,0.0267911566924924,0.565158395757604,1,0.0526463626549528,0
68,152,55,1595,1633,0.51542923999415,0.569668556476232,0.56127201670325,0.603900315657476,0.603777800198908,0.999011031293655,0.797539144472129,0.809433006173438,0.303698065852802,0.78170541343122,0.0001209557726258,0.0,0.467663118693541,0.0006310631063106,0.159732766474339,0.205343221945978,0.205343221945978,0.205343221945978,0.231729223787463,0.32754474075122,0.0276177080024805,0.101701815813045,0.185734729231001,0.0220687758586552,0.847994031068859,0.689404998258386,0.689404998258386,0.217594748503151,6690000000.0,0.0005142099984124,0.264060423805861,0.385138407659923,0.0082626887279602,0.0062621103024752,0.631837577567431,0.0072880474926818,0.13123922967621,0.86876077032379,0.0056168887752074,0.376932247479774,0.0058307741054889,0.101682218639569,0.184789985672272,0.398479146542912,0.0809595202398801,0.0007182494192121,0.0087978242399142,0.000278011258405,0.0001573515316431,0.0262903225806452,0.0252368432648385,0.39618054770358,0.0182002450176043,0.772990786676267,0.271407536499851,0.295938938182845,0.0311619864957367,0.0073853145160943,0.0024453999524069,0.0672905907175686,0.349848594814085,0.277193606405929,0.0026209350568247,0.479919591337753,0.733583832589039,0.32937180814817,0.0183370699036627,0.944558832005764,0.0024004100782047,0.0164863454253463,0.0001441367511618,0.0001372633880527,0.593944213345151,4250000000.0,0.671572808171871,0.23071701318089,0.479919591337753,0.32937180814817,0.120228164674016,0.643413699910557,0.459368182388065,0.603799189044994,0.31464742246222,0.0351670102470139,0,0.812402080769947,0.0015306026487605,0.623933919808977,0.603897044675206,0.841410284018215,0.280064805555877,0.0272263706633293,0.566628246304802,1,0.0282131061692582,0
71,615,1404,2441,3874,0.372982986398869,0.409507195813345,0.408533647411532,0.631278917251618,0.631278917251618,0.998608695853126,0.796477796424535,0.808432309357231,0.30268534741439,0.780630603698367,0.0009649865416466,0.0006334692125643,0.450049067713445,50000000.0,0.0,0.166954616324639,0.166954616324639,0.166954616324639,0.189467712962088,0.315979344981255,0.0060045071615469,0.0853350704340037,0.150410484296151,0.0220338352803158,0.847419785899981,0.686282702578304,0.686282702578304,0.217210162806452,4660000000.0,0.0003918836171536,0.26228796108508,0.372284937222905,0.046874112717277,0.0346699322634054,0.630611566964836,0.0004678138593275,0.0143301992320948,0.985669800767905,0.0058619380062708,0.369744544077945,0.0053658477137564,0.0853404335010667,0.149438202247191,0.394778831841998,0.0494752623688156,0.0061477280796972,0.0010289603231191,41500000.0,0.000122552635222,0.0145161290322581,0.0060249988984034,0.384862395694353,0.0062334074913783,0.862728054102506,0.409405524841852,0.465355332102118,0.297684432681237,0.0397043673725548,0.0825133730172021,0.0187081349331191,0.306619502879132,0.277064247783643,0.0188469918970108,1.0,0.736808568907821,0.326695924024903,0.0,0.904551056593976,0.0020762179930601,0.0900304004050226,0.0003343146139638,0.0002994879872799,0.594122857571279,0.0005712690343983,0.671647319786765,0.235092971848536,1.0,0.326695924024903,0.110933233663468,0.693506205560025,0.53004585588366,0.544462932001902,0.319547169302618,0.0061369798054941,0,0.714926702164118,0.0003047122614184,0.623912216481102,0.631273661800703,0.836075700637819,0.275118709097105,0.026790921003766,0.565157271692057,1,0.231532566132069,0
224,496,939,243,3457,0.529127870131136,0.546990841692106,0.572675196745008,0.613651104801165,0.613636691217804,0.999089950048934,0.797474539474967,0.809396030126625,0.303420112104789,0.781654606285321,0.0002002824074454,0.0001915178964815,0.477731645739497,0.0002810281028102,0.0,0.190173191184527,0.190173191184527,0.190173191184527,0.220100217452964,0.326094645257127,0.0140962233616165,0.103656054067258,0.174587632748362,0.0222520124058491,0.848362195464425,0.690176750137171,0.69017591337774,0.21765624783632,7550000000.0,0.0004527723095794,0.264434187316906,0.381459334600052,0.0138857601068327,0.0097524975451878,0.631450254106108,0.0055435486371387,0.111588112585785,0.888411887414215,0.0051346601419945,0.374730195511795,0.0054816223067173,0.103302555083297,0.173538948797225,0.39676832037598,0.0599700149925038,0.0012518641007172,0.0050525794455569,9420000000.0,5220000000.0,0.0188709677419355,0.0217293597520673,0.4013025485629,0.0583575778251076,0.786339888169394,0.167660837011774,0.226822993938271,0.090245494371045,0.0100069846265544,0.0151969572910597,0.031102807346531,0.353701820676285,0.277228009547343,0.0103642900176537,0.254045492425588,0.73429367819184,0.327499925298681,0.0366764475972685,0.934082646479862,0.0023087470559508,0.0177579454271231,0.0001594134791173,0.0001213001463971,0.593981687069583,0.0001747388146212,0.671552877932269,0.605191148514931,0.254045492425588,0.327499925298681,0.123769807094639,0.629953610202061,0.456339161095654,0.612162755840851,0.312621266108792,0.0211109965271535,0,0.8041389477223,0.0894559370828584,0.623503219884994,0.613650928232681,0.840650350709062,0.278799479448586,0.0269286930173338,0.565738675040471,1,0.0337379528061431,0
